table,region,year,indicator,value,unit,notes
2-8,总计,2024,人口数,1447437,人,按年龄和性别分人口数
2-8,总计,2024,男,738153,人,按年龄和性别分人口数
2-8,总计,2024,女,709284,人,按年龄和性别分人口数
2-8,总计,2024,占总人口比重,100.0,%,按年龄和性别分人口数
2-8,总计,2024,男占比重,51.0,%,按年龄和性别分人口数
2-8,总计,2024,女占比重,49.0,%,按年龄和性别分人口数
2-8,总计,2024,性别比,104.07,（女=100）,按年龄和性别分人口数
2-8,0-4岁,2024,人口数,51295,人,按年龄和性别分人口数
2-8,0-4岁,2024,男,26768,人,按年龄和性别分人口数
2-8,0-4岁,2024,女,24527,人,按年龄和性别分人口数
2-8,0-4岁,2024,占总人口比重,3.54,%,按年龄和性别分人口数
2-8,0-4岁,2024,男占比重,1.85,%,按年龄和性别分人口数
2-8,0-4岁,2024,女占比重,1.69,%,按年龄和性别分人口数
2-8,0-4岁,2024,性别比,109.14,（女=100）,按年龄和性别分人口数
2-8,5-9岁,2024,人口数,83685,人,按年龄和性别分人口数
2-8,5-9岁,2024,男,44057,人,按年龄和性别分人口数
2-8,5-9岁,2024,女,39628,人,按年龄和性别分人口数
2-8,5-9岁,2024,占总人口比重,5.78,%,按年龄和性别分人口数
2-8,5-9岁,2024,男占比重,3.04,%,按年龄和性别分人口数
2-8,5-9岁,2024,女占比重,2.74,%,按年龄和性别分人口数
2-8,5-9岁,2024,性别比,111.18,（女=100）,按年龄和性别分人口数
2-8,10-14岁,2024,人口数,93925,人,按年龄和性别分人口数
2-8,10-14岁,2024,男,50043,人,按年龄和性别分人口数
2-8,10-14岁,2024,女,43882,人,按年龄和性别分人口数
2-8,10-14岁,2024,占总人口比重,6.49,%,按年龄和性别分人口数
2-8,10-14岁,2024,男占比重,3.46,%,按年龄和性别分人口数
2-8,10-14岁,2024,女占比重,3.03,%,按年龄和性别分人口数
2-8,10-14岁,2024,性别比,114.04,（女=100）,按年龄和性别分人口数
2-8,15-19岁,2024,人口数,85925,人,按年龄和性别分人口数
2-8,15-19岁,2024,男,45958,人,按年龄和性别分人口数
2-8,15-19岁,2024,女,39967,人,按年龄和性别分人口数
2-8,15-19岁,2024,占总人口比重,5.94,%,按年龄和性别分人口数
2-8,15-19岁,2024,男占比重,3.18,%,按年龄和性别分人口数
2-8,15-19岁,2024,女占比重,2.76,%,按年龄和性别分人口数
2-8,15-19岁,2024,性别比,114.99,（女=100）,按年龄和性别分人口数
2-8,20-24岁,2024,人口数,73422,人,按年龄和性别分人口数
2-8,20-24岁,2024,男,39110,人,按年龄和性别分人口数
2-8,20-24岁,2024,女,34312,人,按年龄和性别分人口数
2-8,20-24岁,2024,占总人口比重,5.07,%,按年龄和性别分人口数
2-8,20-24岁,2024,男占比重,2.7,%,按年龄和性别分人口数
2-8,20-24岁,2024,女占比重,2.37,%,按年龄和性别分人口数
2-8,20-24岁,2024,性别比,113.98,（女=100）,按年龄和性别分人口数
2-8,25-29岁,2024,人口数,79527,人,按年龄和性别分人口数
2-8,25-29岁,2024,男,42145,人,按年龄和性别分人口数
2-8,25-29岁,2024,女,37382,人,按年龄和性别分人口数
2-8,25-29岁,2024,占总人口比重,5.49,%,按年龄和性别分人口数
2-8,25-29岁,2024,男占比重,2.91,%,按年龄和性别分人口数
2-8,25-29岁,2024,女占比重,2.58,%,按年龄和性别分人口数
2-8,25-29岁,2024,性别比,112.74,（女=100）,按年龄和性别分人口数
2-8,30-34岁,2024,人口数,101599,人,按年龄和性别分人口数
