table,region,year,indicator,value,unit,notes
2-5,全国,2024,年末人口数,140828,万人,分地区年末人口数
2-5,北京,2024,年末人口数,2183,万人,分地区年末人口数
2-5,天津,2024,年末人口数,1364,万人,分地区年末人口数
2-5,河北,2024,年末人口数,7378,万人,分地区年末人口数
2-5,山西,2024,年末人口数,3446,万人,分地区年末人口数
2-5,内蒙古,2024,年末人口数,2388,万人,分地区年末人口数
2-5,辽宁,2024,年末人口数,4155,万人,分地区年末人口数
2-5,吉林,2024,年末人口数,2317,万人,分地区年末人口数
2-5,黑龙江,2024,年末人口数,3029,万人,分地区年末人口数
2-5,上海,2024,年末人口数,2480,万人,分地区年末人口数
2-5,江苏,2024,年末人口数,8526,万人,分地区年末人口数
2-5,浙江,2024,年末人口数,6670,万人,分地区年末人口数
2-5,安徽,2024,年末人口数,6123,万人,分地区年末人口数
2-5,福建,2024,年末人口数,4193,万人,分地区年末人口数
2-5,江西,2024,年末人口数,4502,万人,分地区年末人口数
2-5,山东,2024,年末人口数,10080,万人,分地区年末人口数
2-5,河南,2024,年末人口数,9785,万人,分地区年末人口数
2-5,湖北,2024,年末人口数,5834,万人,分地区年末人口数
2-5,湖南,2024,年末人口数,6539,万人,分地区年末人口数
2-5,广东,2024,年末人口数,12780,万人,分地区年末人口数
2-5,广西,2024,年末人口数,5013,万人,分地区年末人口数
2-5,海南,2024,年末人口数,1048,万人,分地区年末人口数
2-5,重庆,2024,年末人口数,3190,万人,分地区年末人口数
2-5,四川,2024,年末人口数,8364,万人,分地区年末人口数
2-5,贵州,2024,年末人口数,3860,万人,分地区年末人口数
2-5,云南,2024,年末人口数,4655,万人,分地区年末人口数
2-5,西藏,2024,年末人口数,370,万人,分地区年末人口数
2-5,陕西,2024,年末人口数,3953,万人,分地区年末人口数
2-5,甘肃,2024,年末人口数,2458,万人,分地区年末人口数
2-5,青海,2024,年末人口数,593,万人,分地区年末人口数
2-5,宁夏,2024,年末人口数,729,万人,分地区年末人口数
2-5,新疆,2024,年末人口数,2623,万人,分地区年末人口数
15-12,全国,2024,社会消费品零售总额,483344.7,亿元,同比增长3.5%
15-12,北京,2024,社会消费品零售总额,14092.4,亿元,同比增长-2.7%
15-12,天津,2024,社会消费品零售总额,4128.3,亿元,同比增长-3.1%
15-12,河北,2024,社会消费品零售总额,14657.4,亿元,同比增长5.5%
15-12,山西,2024,社会消费品零售总额,7670.9,亿元,同比增长2.5%
15-12,内蒙古,2024,社会消费品零售总额,5152.9,亿元,同比增长4.5%
15-12,辽宁,2024,社会消费品零售总额,10228.9,亿元,同比增长4.0%
15-12,吉林,2024,社会消费品零售总额,4232.1,亿元,同比增长3.5%
15-12,黑龙江,2024,社会消费品零售总额,5445.7,亿元,同比增长1.9%
15-12,上海,2024,社会消费品零售总额,15872.3,亿元,同比增长-3.1%
15-12,江苏,2024,社会消费品零售总额,44922.1,亿元,同比增长4.6%
15-12,浙江,2024,社会消费品零售总额,37707.7,亿元,同比增长4.0%
15-12,安徽,2024,社会消费品零售总额,22908.4,亿元,同比增长4.7%
15-12,福建,2024,社会消费品零售总额,24370.8,亿元,同比增长4.4%
15-12,江西,2024,社会消费品零售总额,12821.7,亿元,同比增长4.9%
15-12,山东,2024,社会消费品零售总额,40059.2,亿元,同比增长5.0%
15-12,河南,2024,社会消费品零售总额,27560.4,亿元,同比增长6.1%
15-12,湖北,2024,社会消费品零售总额,27206.2,亿元,同比增长5.1%
15-12,湖南,2024,社会消费品零售总额,20463.9,亿元,同比增长5.4%
15-12,广东,2024,社会消费品零售总额,45029.2,亿元,同比增长0.8%
15-12,广西,2024,社会消费品零售总额,8151.7,亿元,同比增长1.6%
15-12,海南,2024,社会消费品零售总额,2546.1,亿元,同比增长-4.2%
15-12,重庆,2024,社会消费品零售总额,16190.4,亿元,同比增长3.6%
15-12,四川,2024,社会消费品零售总额,27709.8,亿元,同比增长4.2%
15-12,贵州,2024,社会消费品零售总额,9211.5,亿元,同比增长3.7%
15-12,云南,2024,社会消费品零售总额,12490.8,亿元,同比增长2.9%
15-12,西藏,2024,社会消费品零售总额,1032.8,亿元,同比增长7.2%
15-12,陕西,2024,社会消费品零售总额,10936.0,亿元,同比增长4.8%
15-12,甘肃,2024,社会消费品零售总额,4133.2,亿元,同比增长4.1%
15-12,青海,2024,社会消费品零售总额,1028.3,亿元,同比增长-0.7%
15-12,宁夏,2024,社会消费品零售总额,1418.8,亿元,同比增长5.0%
15-12,新疆,2024,社会消费品零售总额,3965.0,亿元,同比增长2.0%
17-5,全国,2024,限额以上餐饮法人企业数,74664,个,分地区限额以上餐饮业企业主要指标
17-5,全国,2024,限额以上餐饮营业收入,11839.2,亿元,分地区限额以上餐饮业企业主要指标
17-5,北京,2024,限额以上餐饮法人企业数,3493,个,分地区限额以上餐饮业企业主要指标
17-5,北京,2024,限额以上餐饮营业收入,1158.1,亿元,分地区限额以上餐饮业企业主要指标
17-5,天津,2024,限额以上餐饮法人企业数,888,个,分地区限额以上餐饮业企业主要指标
17-5,天津,2024,限额以上餐饮营业收入,197.4,亿元,分地区限额以上餐饮业企业主要指标
17-5,河北,2024,限额以上餐饮法人企业数,1062,个,分地区限额以上餐饮业企业主要指标
17-5,河北,2024,限额以上餐饮营业收入,143.0,亿元,分地区限额以上餐饮业企业主要指标
