candidate_id,candidate_name,district,business_circle,area_type,latitude,longitude,data_source,collection_method
CD-C01,春熙路步行街南入口,锦江区,春熙路-太古里,步行街入口,30.6581,104.7962,高德API/实地调研,地图坐标+实地勘察
CD-C02,太古里东广场核心区,锦江区,春熙路-太古里,开放式商业街区,30.6598,104.7985,高德API/实地调研,地图坐标+实地勘察
CD-C03,太古里西侧/IFS连廊区,锦江区,春熙路-太古里,高端购物中心,30.6605,104.7970,高德API/实地调研,地图坐标+实地勘察
CD-C04,春熙路步行街北段,锦江区,春熙路-太古里,步行街核心,30.6612,104.7955,高德API/实地调研,地图坐标+实地勘察
CD-C05,天府广场-成都博物馆周边,青羊区,盐市口-天府广场,城市广场/文旅,30.6632,104.7730,高德API/实地调研,地图坐标+实地勘察
CD-C06,盐市口-新世界百货周边,锦江区,盐市口-天府广场,传统商圈,30.6555,104.7805,高德API/实地调研,地图坐标+实地勘察
CD-C07,盐市口地铁换乘站周边,锦江区,盐市口-天府广场,地铁上盖,30.6548,104.7798,高德API/实地调研,地图坐标+实地勘察
CD-C08,骡马市地铁TOD周边,青羊区,盐市口-天府广场,地铁TOD,30.6638,104.7765,高德API/实地调研,地图坐标+实地勘察
CD-C09,建设路小吃街核心区,成华区,建设路-万达,美食街区,30.6752,104.7625,高德API/实地调研,地图坐标+实地勘察
CD-C10,建设路万达广场室内,成华区,建设路-万达,购物中心,30.6760,104.7618,高德API/实地调研,地图坐标+实地勘察
CD-C11,建设路电子科大西门,成华区,建设路-万达,校园周边,30.6772,104.7638,高德API/实地调研,地图坐标+实地勘察
CD-C12,东郊记忆商业区,成华区,建设路-万达,文创园区,30.6802,104.7595,高德API/实地调研,地图坐标+实地勘察
