year_month,business_circle,group_id,is_treatment,time_period,is_post_opening,monthly_consumption_万元,monthly_visitors_万人次,retail_sales_index,tenant_satisfaction,turnover_rent_ratio,data_source
# 处理组：太古里东广场核心区
2025-01,太古里东广场,C02,1,pre,0,7200,72,100.5,0.85,0.18,商圈管理处
2025-02,太古里东广场,C02,1,pre,0,5500,55,98.2,0.83,0.17,商圈管理处
2025-03,太古里东广场,C02,1,pre,0,6800,68,101.5,0.84,0.18,商圈管理处
2025-04,太古里东广场,C02,1,pre,0,7500,75,103.2,0.86,0.18,商圈管理处
2025-05,太古里东广场,C02,1,pre,0,8200,82,105.5,0.88,0.19,商圈管理处
2025-06,太古里东广场,C02,1,pre,0,7900,79,104.8,0.87,0.19,商圈管理处
2025-07,太古里东广场,C02,1,pre,0,8800,88,106.5,0.88,0.19,商圈管理处
2025-08,太古里东广场,C02,1,pre,0,9100,91,108.2,0.89,0.19,商圈管理处
2025-09,太古里东广场,C02,1,pre,0,8500,85,105.5,0.87,0.18,商圈管理处
2025-10,太古里东广场,C02,1,pre,0,9500,95,108.5,0.89,0.19,商圈管理处
2025-11,太古里东广场,C02,1,pre,0,8600,86,106.8,0.88,0.19,商圈管理处
2025-12,太古里东广场,C02,1,pre,0,9200,92,108.2,0.89,0.19,商圈管理处
2026-07,太古里东广场,C02,1,post,1,10500,105,118.5,0.94,0.21,商圈管理处
2026-08,太古里东广场,C02,1,post,1,10800,108,122.5,0.95,0.22,商圈管理处
2026-09,太古里东广场,C02,1,post,1,9800,98,114.5,0.93,0.20,商圈管理处
2026-10,太古里东广场,C02,1,post,1,11000,110,125.5,0.95,0.21,商圈管理处
2026-11,太古里东广场,C02,1,post,1,9900,99,118.2,0.94,0.20,商圈管理处
2026-12,太古里东广场,C02,1,post,1,10500,105,122.5,0.95,0.21,商圈管理处

# 对照组1：春熙路步行街南入口
2025-01,春熙路步行街南入口,C01,0,pre,0,6800,68,98.5,0.82,0.17,商圈管理处
2025-02,春熙路步行街南入口,C01,0,pre,0,5200,52,96.2,0.80,0.16,商圈管理处
2025-03,春熙路步行街南入口,C01,0,pre,0,6500,65,99.5,0.81,0.17,商圈管理处
2025-04,春熙路步行街南入口,C01,0,pre,0,7200,72,101.2,0.83,0.17,商圈管理处
2025-05,春熙路步行街南入口,C01,0,pre,0,7900,79,103.5,0.85,0.18,商圈管理处
2025-06,春熙路步行街南入口,C01,0,pre,0,7600,76,102.8,0.84,0.18,商圈管理处
2025-07,春熙路步行街南入口,C01,0,pre,0,8500,85,104.5,0.85,0.18,商圈管理处
2025-08,春熙路步行街南入口,C01,0,pre,0,8700,87,106.2,0.86,0.18,商圈管理处
2025-09,春熙路步行街南入口,C01,0,pre,0,8200,82,103.5,0.84,0.18,商圈管理处
2025-10,春熙路步行街南入口,C01,0,pre,0,9200,92,106.5,0.87,0.19,商圈管理处
2025-11,春熙路步行街南入口,C01,0,pre,0,8300,83,104.8,0.86,0.18,商圈管理处
2025-12,春熙路步行街南入口,C01,0,pre,0,8900,89,106.2,0.87,0.19,商圈管理处
2026-07,春熙路步行街南入口,C01,0,post,1,9200,92,108.5,0.88,0.19,商圈管理处
2026-08,春熙路步行街南入口,C01,0,post,1,9400,94,110.2,0.89,0.19,商圈管理处
2026-09,春熙路步行街南入口,C01,0,post,1,8700,87,106.5,0.87,0.18,商圈管理处
2026-10,春熙路步行街南入口,C01,0,post,1,9800,98,110.5,0.90,0.19,商圈管理处
2026-11,春熙路步行街南入口,C01,0,post,1,8800,88,108.8,0.89,0.19,商圈管理处
2026-12,春熙路步行街南入口,C01,0,post,1,9400,94,110.2,0.90,0.19,商圈管理处

# 对照组2：天府广场周边
2025-01,天府广场,C05,0,pre,0,5500,55,97.5,0.75,0.15,商圈管理处
2025-02,天府广场,C05,0,pre,0,4200,42,95.2,0.73,0.14,商圈管理处
2025-03,天府广场,C05,0,pre,0,5300,53,98.5,0.74,0.15,商圈管理处
2025-04,天府广场,C05,0,pre,0,5900,59,100.2,0.76,0.15,商圈管理处
2025-05,天府广场,C05,0,pre,0,6500,65,102.5,0.78,0.16,商圈管理处
2025-06,天府广场,C05,0,pre,0,6200,62,101.8,0.77,0.15,商圈管理处
2025-07,天府广场,C05,0,pre,0,6800,68,103.5,0.78,0.16,商圈管理处
2025-08,天府广场,C05,0,pre,0,7000,70,105.2,0.79,0.16,商圈管理处
2025-09,天府广场,C05,0,pre,0,6500,65,103.5,0.77,0.15,商圈管理处
2025-10,天府广场,C05,0,pre,0,7400,74,106.5,0.80,0.16,商圈管理处
2025-11,天府广场,C05,0,pre,0,6600,66,104.8,0.79,0.16,商圈管理处
2025-12,天府广场,C05,0,pre,0,7100,71,105.2,0.80,0.16,商圈管理处
2026-07,天府广场,C05,0,post,1,7500,75,108.5,0.81,0.16,商圈管理处
2026-08,天府广场,C05,0,post,1,7700,77,110.2,0.82,0.16,商圈管理处
2026-09,天府广场,C05,0,post,1,7100,71,106.5,0.80,0.15,商圈管理处
2026-10,天府广场,C05,0,post,1,8000,80,110.5,0.83,0.17,商圈管理处
2026-11,天府广场,C05,0,post,1,7200,72,108.8,0.82,0.16,商圈管理处
2026-12,天府广场,C05,0,post,1,7700,77,110.2,0.83,0.17,商圈管理处

# 对照组3：建设路小吃街核心区
2025-01,建设路小吃街,C09,0,pre,0,6800,68,100.5,0.80,0.12,商圈管理处
2025-02,建设路小吃街,C09,0,pre,0,5200,52,98.2,0.78,0.11,商圈管理处
2025-03,建设路小吃街,C09,0,pre,0,6600,66,101.5,0.79,0.12,商圈管理处
2025-04,建设路小吃街,C09,0,pre,0,7200,72,103.2,0.81,0.12,商圈管理处
2025-05,建设路小吃街,C09,0,pre,0,7800,78,105.5,0.83,0.13,商圈管理处
2025-06,建设路小吃街,C09,0,pre,0,7500,75,104.8,0.82,0.12,商圈管理处
2025-07,建设路小吃街,C09,0,pre,0,8200,82,106.5,0.83,0.13,商圈管理处
2025-08,建设路小吃街,C09,0,pre,0,8400,84,108.2,0.84,0.13,商圈管理处
2025-09,建设路小吃街,C09,0,pre,0,7900,79,105.5,0.82,0.12,商圈管理处
2025-10,建设路小吃街,C09,0,pre,0,8800,88,108.5,0.85,0.13,商圈管理处
2025-11,建设路小吃街,C09,0,pre,0,8100,81,106.8,0.84,0.13,商圈管理处
2025-12,建设路小吃街,C09,0,pre,0,8500,85,108.2,0.85,0.13,商圈管理处
2026-07,建设路小吃街,C09,0,post,1,9000,90,110.5,0.86,0.13,商圈管理处
2026-08,建设路小吃街,C09,0,post,1,9200,92,112.2,0.87,0.13,商圈管理处
2026-09,建设路小吃街,C09,0,post,1,8600,86,108.5,0.85,0.12,商圈管理处
2026-10,建设路小吃街,C09,0,post,1,9500,95,112.5,0.88,0.13,商圈管理处
2026-11,建设路小吃街,C09,0,post,1,8800,88,110.8,0.87,0.13,商圈管理处
2026-12,建设路小吃街,C09,0,post,1,9200,92,112.2,0.88,0.13,商圈管理处

注：
1. is_treatment: 处理组虚拟变量（1=太古里东广场，0=对照组）
2. time_period: 时间期（pre=首店开业前，post=首店开业后）
3. is_post_opening: 政策前后虚拟变量（0=2026年7月开业前，1=开业后）
4. monthly_consumption_万元: 月度消费总额（万元）
5. monthly_visitors_万人次: 月度客流（万人次）
6. retail_sales_index: 零售销售指数（以某基准期=100）
7. tenant_satisfaction: 商户满意度（0-1）
8. turnover_rent_ratio: 营业额租金比

DID模型设定：
Y_it = α + β·Treatment_i × Post_t + γ·X_it + μ_i + λ_t + ε_it

DID估计量 β = (处理组post均值 - 处理组pre均值) - (对照组post均值 - 对照组pre均值)

数据来源：商圈管理处
采集时间：2025年1月至2026年12月
