year_month,business_circle,is_treatment_group,peer_tea_stores_count,peer_stores_growth_rate_pct,cluster_effect_index,night_consumption_ratio,daily_night_flow_万人次,social_media_mentions,check_in_posts,night_economy_score,data_source
# 处理组：太古里东广场核心区（2026年7月开业）
2026-01,太古里东广场核心区,1,19,0,1.00,0.33,33.5,920,4800,0.88,商圈管理处/大众点评
2026-02,太古里东广场核心区,1,19,0,1.00,0.28,22.5,820,3800,0.82,商圈管理处/大众点评
2026-03,太古里东广场核心区,1,19,0,1.00,0.30,27.5,880,4200,0.85,商圈管理处/大众点评
2026-04,太古里东广场核心区,1,19,0,1.00,0.31,29.5,920,4600,0.86,商圈管理处/大众点评
2026-05,太古里东广场核心区,1,20,0,1.00,0.32,32.5,980,5000,0.88,商圈管理处/大众点评
2026-06,太古里东广场核心区,1,20,0,1.00,0.33,34.5,1020,5400,0.89,商圈管理处/大众点评
2026-07,太古里东广场核心区,1,21,5.0,1.16,0.40,46.5,1350,9200,0.96,商圈管理处/大众点评
2026-08,太古里东广场核心区,1,22,10.5,1.28,0.42,52.5,1520,11200,0.98,商圈管理处/大众点评
2026-09,太古里东广场核心区,1,23,15.8,1.38,0.38,42.5,1280,8500,0.94,商圈管理处/大众点评
2026-10,太古里东广场核心区,1,24,21.1,1.45,0.40,48.5,1420,10200,0.96,商圈管理处/大众点评
2026-11,太古里东广场核心区,1,25,26.3,1.50,0.37,40.5,1180,7200,0.91,商圈管理处/大众点评
2026-12,太古里东广场核心区,1,25,26.3,1.52,0.39,44.5,1300,8400,0.94,商圈管理处/大众点评
2027-01,太古里东广场核心区,1,25,26.3,1.50,0.36,38.5,1120,6500,0.90,商圈管理处/大众点评
2027-02,太古里东广场核心区,1,26,31.6,1.55,0.34,30.5,980,5800,0.86,商圈管理处/大众点评
2027-03,太古里东广场核心区,1,26,31.6,1.52,0.32,29.5,950,5500,0.84,商圈管理处/大众点评
2027-04,太古里东广场核心区,1,26,31.6,1.48,0.33,31.5,1000,6000,0.86,商圈管理处/大众点评
2027-05,太古里东广场核心区,1,26,31.6,1.45,0.34,33.5,1050,6600,0.88,商圈管理处/大众点评
2027-06,太古里东广场核心区,1,26,31.6,1.42,0.35,35.5,1100,7000,0.89,商圈管理处/大众点评

# 对照组：春熙路步行街南入口
2026-01,春熙路步行街南入口,0,26,0,1.00,0.30,28.5,780,3600,0.82,商圈管理处/大众点评
2026-02,春熙路步行街南入口,0,26,0,1.00,0.28,25.2,720,3200,0.80,商圈管理处/大众点评
2026-03,春熙路步行街南入口,0,26,0,1.00,0.29,26.5,750,3400,0.81,商圈管理处/大众点评
2026-04,春熙路步行街南入口,0,26,0,1.00,0.30,28.5,780,3600,0.82,商圈管理处/大众点评
2026-05,春熙路步行街南入口,0,27,0,1.00,0.31,30.5,820,3900,0.84,商圈管理处/大众点评
2026-06,春熙路步行街南入口,0,27,0,1.00,0.32,32.5,850,4100,0.85,商圈管理处/大众点评
2026-07,春熙路步行街南入口,0,27,0,1.00,0.33,34.5,880,4300,0.86,商圈管理处/大众点评
2026-08,春熙路步行街南入口,0,27,0,1.00,0.34,35.2,910,4500,0.87,商圈管理处/大众点评
2026-09,春熙路步行街南入口,0,27,0,1.00,0.31,29.5,790,3600,0.82,商圈管理处/大众点评
2026-10,春熙路步行街南入口,0,28,0,1.00,0.33,34.5,880,4800,0.88,商圈管理处/大众点评
2026-11,春熙路步行街南入口,0,28,0,1.00,0.30,28.2,750,3400,0.81,商圈管理处/大众点评
2026-12,春熙路步行街南入口,0,28,0,1.00,0.34,33.5,900,5200,0.87,商圈管理处/大众点评
2027-01,春熙路步行街南入口,0,28,0,1.00,0.32,31.5,820,3800,0.85,商圈管理处/大众点评
2027-02,春熙路步行街南入口,0,28,0,1.00,0.29,24.5,720,3100,0.81,商圈管理处/大众点评
2027-03,春熙路步行街南入口,0,28,0,1.00,0.30,27.5,760,3400,0.83,商圈管理处/大众点评
2027-04,春熙路步行街南入口,0,28,0,1.00,0.31,29.5,800,3700,0.84,商圈管理处/大众点评
2027-05,春熙路步行街南入口,0,28,0,1.00,0.32,31.5,840,4000,0.85,商圈管理处/大众点评
2027-06,春熙路步行街南入口,0,28,0,1.00,0.33,33.5,880,4300,0.86,商圈管理处/大众点评

注：
1. is_treatment_group: 是否为处理组（1=太古里核心区首店选址，0=对照组）
2. peer_tea_stores_count: 500米范围内同类茶饮品牌门店数量
3. peer_stores_growth_rate_pct: 竞品数量增长率（%），首店开业后上升
4. cluster_effect_index: 品牌集聚效应指数，以开业前为基准1.00
5. night_consumption_ratio: 夜间消费占比（19:00后）
6. daily_night_flow_万人次: 夜间日均客流（万人次）
7. social_media_mentions: 社交媒体（小红书+抖音）提及量
8. check_in_posts: 打卡帖子数量
9. night_economy_score: 夜间经济活跃度评分（0-1）

首店效应说明：
- 2026年7月首店开业，处理组各项指标显著上升
- 对照组保持自然增长趋势（剔除首店效应）
- 用于计算DID估计量和效应分解

数据来源：商圈管理处/大众点评/小红书
采集时间：2026年1月至2027年6月
