year_month,period_label,monthly_consumption_万元,predicted_consumption_baseline_万元,predicted_consumption_with_firststore_万元,firststore_effect_万元,total_effect_pct,seasonal_factor,is_spring_festival,is_summer,is_national_day,is_double_11,first_store_months,is_opening_month,cluster_effect,night_lift,did_beta_component,data_type,note
2024-07,历史期,9200,9150,9150,0,0.00%,1.45,0,1,0,0,0,否,1.00,0.00,0,historical,暑期基准
2024-08,历史期,9450,9400,9400,0,0.00%,1.48,0,1,0,0,0,否,1.00,0.00,0,historical,暑期基准
2024-09,历史期,8850,8800,8800,0,0.00%,1.12,0,0,0,0,0,否,1.00,0.00,0,historical,开学季
2024-10,历史期,10200,10150,10150,0,0.00%,1.62,0,0,1,0,0,否,1.00,0.00,0,historical,国庆高峰
2024-11,历史期,9200,9150,9150,0,0.00%,1.38,0,0,0,1,0,否,1.00,0.00,0,historical,双十一
2024-12,历史期,9850,9800,9800,0,0.00%,1.55,0,0,0,0,0,否,1.00,0.00,0,historical,年末旺季
2025-01,历史期,7200,7150,7150,0,0.00%,1.15,1,0,0,0,0,否,1.00,0.00,0,historical,春节前
2025-02,历史期,5500,5450,5450,0,0.00%,0.85,1,0,0,0,0,否,1.00,0.00,0,historical,春节
2025-03,历史期,6800,6750,6750,0,0.00%,1.08,0,0,0,0,0,否,1.00,0.00,0,historical,春季恢复
2025-04,历史期,7500,7450,7450,0,0.00%,1.20,0,0,0,0,0,否,1.00,0.00,0,historical,清明
2025-05,历史期,8200,8150,8150,0,0.00%,1.30,0,0,0,0,0,否,1.00,0.00,0,historical,五一
2025-06,历史期,7900,7850,7850,0,0.00%,1.25,0,0,0,0,0,否,1.00,0.00,0,historical,暑期预热
2025-07,预测期,8800,8750,8750,0,0.00%,1.40,0,1,0,0,0,否,1.00,0.00,0,forecast,暑期旺季
2025-08,预测期,9100,9050,9050,0,0.00%,1.45,0,1,0,0,0,否,1.00,0.00,0,forecast,暑期高峰
2025-09,预测期,8500,8450,8450,0,0.00%,1.10,0,0,0,0,0,否,1.00,0.00,0,forecast,开学季
2025-10,预测期,9500,9450,9450,0,0.00%,1.55,0,0,1,0,0,否,1.00,0.00,0,forecast,国庆高峰
2025-11,预测期,8600,8550,8550,0,0.00%,1.35,0,0,0,1,0,否,1.00,0.00,0,forecast,双十一
2025-12,预测期,9200,9150,9150,0,0.00%,1.50,0,0,0,0,0,否,1.00,0.00,0,forecast,年末旺季
2026-01,预测期,7800,7750,7750,0,0.00%,1.15,1,0,0,0,0,否,1.00,0.00,0,forecast,春节前
2026-02,预测期,5800,5750,5750,0,0.00%,0.82,1,0,0,0,0,否,1.00,0.00,0,forecast,春节
2026-03,预测期,7200,7150,7150,0,0.00%,1.08,0,0,0,0,0,否,1.00,0.00,0,forecast,春季恢复
2026-04,预测期,8000,7950,7950,0,0.00%,1.20,0,0,0,0,0,否,1.00,0.00,0,forecast,清明
2026-05,预测期,8700,8650,8650,0,0.00%,1.30,0,0,0,0,0,否,1.00,0.00,0,forecast,五一
2026-06,预测期,8400,8350,8350,0,0.00%,1.25,0,0,0,0,0,否,1.00,0.00,0,forecast,暑期预热
