region,年末人口数,社会消费品零售总额,限额以上餐饮法人企业数,限额以上餐饮营业收入,连锁餐饮企业数,连锁门店数,连锁餐饮营业收入,公交汽车客运总量,轨道交通客运总量,出租汽车数量,总人口,城镇人口数,城镇人口比重,乡村人口数,乡村人口比重,出生率,死亡率,自然增长率,户数,家庭户数,集体户数,人口数,男,女,性别比,家庭户人口数,家庭户男,家庭户女,集体户人口数,集体户男,集体户女,平均家庭户规模
全国,140828,483344.7,74664,11839.2,935,72829,3408.3,3867039,3220886,1352030,140828,94350,67.0,46478,33.0,6.77,7.76,-0.99,568463,548557,19906,1447437,738153,709284,104.07,1378611,700193,678418,68826,37960,30866,2.51
北京,2183,14092.4,3493,1158.1,117,9870,1550.0,178947,361916,65846,2183,1926,88.22,257,11.78,6.09,6.08,0.01,10013,9586,427,22470,11437,11033,103.66,21143,10600,10543,1327,837,490,2.21
天津,1364,4128.3,888,197.4,21,1439,235.0,44594,63999,31778,1364,1173,86.01,191,13.99,4.99,6.96,-1.97,6017,5602,415,14037,7172,6865,104.47,13217,6725,6493,820,447,372,2.36
河北,7378,14657.4,1062,143.0,9,244,12.5,96013,19823,69264,7378,4679,63.42,2699,36.58,5.9,8.22,-2.32,29644,28899,745,75943,37696,38248,98.56,72991,36183,36808,2953,1513,1440,2.53
山西,3446,7670.9,1286,152.7,6,324,42.0,96141,4820,40931,3446,2285,66.32,1161,33.68,6.94,8.33,-1.39,14368,13894,474,35463,18077,17387,103.97,33875,17283,16592,1588,793,794,2.44
内蒙古,2388,5152.9,451,65.8,6,126,12.5,64549,7702,67215,2388,1689,70.73,699,29.27,5.52,8.36,-2.84,10200,9847,353,24578,12565,12013,104.6,23198,11727,11471,1380,838,542,2.36
辽宁,4155,10228.9,702,175.7,20,1902,88.0,193821,93470,91007,4155,3082,74.18,1073,25.82,4.32,9.62,-5.3,19406,19024,382,42763,21020,21743,96.67,41805,20745,21060,958,275,683,2.2
吉林,2317,4232.1,306,42.1,,89,3.8,103191,27043,66950,2317,1524,65.78,793,34.22,4.17,9.02,-4.85,10616,10329,286,23845,11875,11969,99.21,23020,11531,11489,824,344,480,2.23
黑龙江,3029,5445.7,316,29.3,5,146,11.5,132259,36123,96483,3029,2061,68.05,968,31.95,3.35,9.69,-6.34,15181,14868,313,31174,15549,15625,99.51,30162,15098,15064,1012,451,561,2.03
上海,2480,15872.3,2914,1357.4,141,14184,668.0,106515,376608,30861,2480,2228,89.85,252,10.15,4.75,6.28,-1.53,11459,10938,522,25520,13206,12314,107.24,24018,12234,11785,1502,973,529,2.2
江苏,8526,44922.1,7633,1919.3,46,4739,231.6,197402,219782,49968,8526,6440,75.53,2086,24.47,4.98,7.48,-2.5,34834,33786,1048,87756,44476,43280,102.76,83249,41363,41886,4507,3113,1394,2.46
浙江,6670,37707.7,4173,802.0,45,3910,210.8,168176,193834,42149,6670,5033,75.46,1637,24.54,6.17,6.53,-0.36,28820,27441,1379,68651,35828,32823,109.16,64604,33333,31271,4047,2495,1552,2.35
安徽,6123,22908.4,2439,386.2,17,1738,92.1,99462,56144,55110,6123,3831,62.57,2292,37.43,6.17,8.41,-2.24,25375,24367,1008,63020,32161,30859,104.22,60051,30804,29248,2968,1357,1611,2.46
福建,4193,24370.8,3585,542.1,33,2466,92.4,136451,57264,21090,4193,3011,71.8,1182,28.2,6.95,6.71,0.24,16216,15438,778,43162,22321,20841,107.1,40382,20618,19763,2781,1703,1078,2.62
江西,4502,12821.7,3279,250.9,19,1022,23.3,66208,43895,16173,4502,2871,63.77,1631,36.23,6.65,7.23,-0.58,17022,16654,368,46339,23925,22414,106.74,44815,23262,21553,1524,664,861,2.69
山东,10080,40059.2,6338,621.8,41,2153,92.1,262529,64694,68226,10080,6701,66.48,3379,33.52,6.42,8.09,-1.67,42300,41411,889,103752,52391,51361,102.01,100619,50625,49994,3133,1766,1367,2.43
河南,9785,27560.4,2475,194.5,10,711,28.2,148294,76739,63070,9785,5795,59.22,3990,40.78,7.78,7.89,-0.11,37218,35789,1430,100717,50450,50266,100.37,95570,47243,48327,5146,3207,1939,2.67
湖北,5834,27206.2,6134,592.2,47,3590,137.3,175203,147264,44315,5834,3871,66.35,1963,33.65,5.38,8.52,-3.14,22815,22100,715,60048,30725,29323,104.78,57375,29398,27977,2673,1327,1346,2.6
湖南,6539,20463.9,3106,381.0,36,3558,103.0,171969,102801,35285,6539,4059,62.07,2480,37.93,5.89,8.93,-3.04,27543,26633,911,67303,34434,32869,104.76,63704,32611,31093,3600,1823,1776,2.39
