排名,城市,平均租金(元/月/㎡),同比上年,涨跌幅_数值
1,北京,71.24,+13.46%,13.46
2,上海,66.34,+13.47%,13.47
3,深圳,66.25,+10.96%,10.96
4,广州,44.47,+1.64%,1.64
5,杭州,41.39,+5.62%,5.62
6,厦门,38.38,+3.22%,3.22
7,三亚,36.42,-3.42%,-3.42
8,南京,33.23,-1.94%,-1.94
9,哈尔滨,32.65,+3.12%,3.12
10,福州,32.37,-1.88%,-1.88
11,珠海,31.88,+2.52%,2.52
12,天津,30.9,+3.26%,3.26
13,大连,30.61,-4.27%,-4.27
14,温州,30.21,-3.95%,-3.95
15,宁波,29.59,+0.27%,0.27
16,郑州,28.85,+0.70%,0.7
17,武汉,27.94,+1.53%,1.53
18,兰州,27.53,-0.68%,-0.68
19,苏州,27.13,+3.86%,3.86
20,济南,25.69,+3.28%,3.28
21,海口,24.88,-5.29%,-5.29
22,南宁,24.41,-1.81%,-1.81
23,东莞,24.33,+2.84%,2.84
24,成都,24.33,-2.84%,-2.84
25,佛山,24.14,-2.42%,-2.42
26,青岛,24.14,-2.11%,-2.11
27,昆明,24.06,-4.47%,-4.47
28,拉萨,23.67,+5.77%,5.77
29,长沙,23.61,+3.84%,3.84
30,贵阳,23.06,-4.31%,-4.31
31,重庆,23.03,-2.52%,-2.52
32,西安,22.89,-3.81%,-3.81
33,南昌,22.7,+2.69%,2.69
34,西宁,22.4,-1.14%,-1.14
35,长春,22.05,-5.99%,-5.99
35,太原,21.82,-2.89%,-2.89
37,沈阳,21.74,-3.97%,-3.97
38,合肥,21.52,+2.75%,2.75
39,乌鲁木齐,21.24,-1.79%,-1.79
40,无锡,20.15,-0.36%,-0.36
41,呼和浩特,19.05,-7.54%,-7.54
42,石家庄,18.11,-3.46%,-3.46
