指标,数值,同比增速,数据来源,数据时间
中国新茶饮市场规模,3749.3亿元,5.70%,艾媒咨询《2025-2026年中国新式茶饮行业发展现状与消费趋势调查分析报告》,2025年
行业预期(2028年),4000亿元,预计突破,艾媒咨询,2028年预测
蜜雪集团2025年营收,335.6亿元,35.20%,蜜雪集团年度业绩公告,2025年
蜜雪集团归母净利润,58.8亿元,32.70%,蜜雪集团年度业绩公告,2025年
蜜雪冰城国内门店数,4.4万家,_,蜜雪集团公告,2025年底
行业集中度CR3,34.7%,_,壹览商业,2025年
行业集中度CR5,41.9%,_,壹览商业,2025年
女性消费者占比,58%,_,尚普咨询2025年1-8月奶茶市场洞察报告,2025年
18-35岁人群占比,68%,_,尚普咨询,2025年
18-25岁占比,37%,_,尚普咨询,2025年
新一线和一线城市占比,60%,_,尚普咨询,2025年
15-25元价格区间占比,47%,_,尚普咨询,2025年
大杯规格占比,41%,_,尚普咨询,2025年
中杯规格占比,24%,_,尚普咨询,2025年
消费者偏好口味口感占比,31%,_,尚普咨询,2025年
解渴需求占比,26%,_,尚普咨询,2025年
休闲享受占比,24%,_,尚普咨询,2025年
社交媒体广告偏好,37%,_,尚普咨询,2025年
亲友好口碑推荐,29%,_,尚普咨询,2025年
