假期类型,品牌,效应描述,销量增幅,数据来源
春节,茶百道,多家门店销量增幅超400%，最高达3500%,400%-3500%,茶百道官方数据2025年
春节,喜茶,众多门店环比节前涨幅超300%，部分超900%,300%-900%,喜茶官方数据2025年
春节,沪上阿姨,全国门店销量火爆，多门店环比增长超500%,500%,沪上阿姨内部数据2025年
春节,奈雪的茶,多地门店销售大涨630%,630%,奈雪的茶官方数据2025年
春节,霸王茶姬,众多门店环比节前涨幅超300%，部分超500%,300%-500%,霸王茶姬官方数据2025年
春节,蜜雪冰城,乡镇门店营业额高峰达8500元/天,-,社交媒体数据2025年
春节,古茗,部分门店等单超100杯,-,大众点评数据2025年
五一,茶百道,整体销售额环比增幅50%，多家门店超1700%,50%-1700%,新华网2025年5月
五一,茶百道,景区门店最高增幅达3000%,3000%,新华网2025年5月
五一,茶百道,新品山茶碧螺春系列卖出超150万杯,150万杯,新华网2025年5月
国庆中秋,益禾堂,总杯量超1800万,1800万杯,深圳新闻网2025年10月
国庆中秋,益禾堂,部分门店GMV增长超200%,200%,深圳新闻网2025年10月
国庆中秋,甜啦啦,全国门店总销量环比增长超50%,50%,人民网2025年10月
国庆中秋,甜啦啦,部分景区门店GMV增长超220%,220%,人民网2025年10月
普通周末,行业平均,周六销售额较周一平均高出62.3%,-,霸王茶姬数据分析报告
夏季(6-8月),行业平均,冷饮旺季贡献全年38.7%营收,-,霸王茶姬数据分析报告
冬季(12月),行业平均,受低温与节日分流影响仅占7.2%,-,霸王茶姬数据分析报告
