区域,省份,城市,商圈名称,商圈记录粒度,代表商场,代表地址,商场点评摘要,商场样本数,地址完整率,点评覆盖率,高端定位样本数,大众定位样本数,街区型样本数,日均客流量_万人次,单店月租金估计_万元,商铺面积估计_平方米,商圈客流租金来源,商业密度代理_商场样本数,消费能力代理_收入社零综合,交通可达性代理_公共交通客运,餐饮集聚代理_连锁门店数,年轻客群代理_pct,成本压力代理_租金,政策支持代理,问题一可用指标数,地址样本数,点评样本数,年末人口数,社会消费品零售总额,限额以上餐饮法人企业数,限额以上餐饮营业收入,连锁餐饮企业数,连锁门店数,连锁餐饮营业收入,公交汽车客运总量,轨道交通客运总量,出租汽车数量,城镇人口比重,乡村人口比重,出生率,死亡率,自然增长率,平均家庭户规模,人均社零额_元,人均限上餐饮收入_元,万人公交客运量,万人轨道交通客运量,万人出租车数量,城镇居民人均可支配收入_元,收入同比增长_pct,收入数据来源,城市商铺租金排名,城市平均商铺租金_元每月每平米,商铺租金同比文本,商铺租金涨跌幅_pct,核心商圈租金_元每月每平米,核心商圈空置率_pct,核心商圈租金来源,核心商圈租金时间,首店政策数量,首店政策文件,首店奖励标准,有首店政策,18_30岁人口占比_pct,15_59岁人口占比_pct,平均年龄_岁,年轻人口数据来源,年轻人口补充指标,年轻人口补充值,年轻人口补充来源,核心商圈明细租金_元每月每平米,核心商圈明细来源,指标粒度说明,建议评分方向
西南区,四川,成都,春熙路步行街,商圈/商场聚合,新世纪百货,,,1,0.0,0.0,0,0,1,12.5,8.65,625.0,58同城/安居客,1,12.351,0.0,,20.0,5750.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,5750.0,戴德梁行/安居客,该行为重点商圈客流表补充；客流为商圈明细，人口、收入、社零、交通、餐饮、政策多为城市级代理。,正向: 客流、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,太古里,重点商圈客流表补充,,,,0,,,0,0,0,6.5,,,估算,0,12.351,0.0,,20.0,585.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,该行为重点商圈客流表补充；客流为商圈明细，人口、收入、社零、交通、餐饮、政策多为城市级代理。,正向: 客流、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,万达商业广场,商圈/商场聚合,万达商业广场,,,1,0.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,乐宾百货,商圈/商场聚合,乐宾百货,,,1,0.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,九龙批发市场,商圈/商场聚合,盐市口华胜,锦江区梨花街9号盐市口广场5号,,1,1.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,1,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,人民商场（被茂业百货收购）,商圈/商场聚合,人民商场（被茂业百货收购）,盐市口,,1,1.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,1,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,仁和春天,商圈/商场聚合,仁和春天,,,1,0.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,伊势丹,商圈/商场聚合,伊势丹,,,1,0.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,伊滕盛华堂,商圈/商场聚合,伊滕盛华堂,春熙路,,1,1.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,1,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,千盛百货,商圈/商场聚合,千盛百货,,,1,0.0,0.0,0,0,0,,,,,1,12.351,0.0,,20.0,585.0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,59509.0,4.4,成都市统计局2025年公报,24.0,24.33,-2.84%,-2.84,585.0,8.68,戴德梁行2025年成都报告,2025年第四季度,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,中央财政补助：超大特大城市合计4亿元；对亚洲级及以上首店给予补贴,1,20.0,68.74,,第七次人口普查,成都14-35岁青年人口,690万,成都市统计年鉴,,,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
