候选区域编号,候选区域名称,所属商圈,客流得分,年轻人占比得分,消费能力匹配得分,交通便利度得分,租金性价比得分,客群匹配度得分,竞争强度得分(逆向),综合评价展示分
CD-C02,太古里东广场核心区,春熙路-太古里,1.0,0.41,0.94,0.9,0.7,0.92,0.12,0.78
CD-C03,太古里西侧/IFS连廊区,春熙路-太古里,0.78,0.19,0.97,0.85,0.72,0.82,0.15,0.71
CD-C10,建设路万达广场室内,建设路-万达,0.69,0.19,0.7,0.78,0.92,0.8,0.42,0.7
CD-C07,盐市口地铁换乘站周边,盐市口-天府广场,0.53,0.14,0.72,0.95,0.78,0.74,0.52,0.68
CD-C01,春熙路步行街南入口,春熙路-太古里,0.89,0.27,0.59,0.92,0.65,0.88,0.08,0.66
CD-C04,春熙路步行街北段,春熙路-太古里,0.94,0.35,0.59,0.88,0.62,0.86,0.05,0.66
CD-C11,建设路电子科大西门,建设路-万达,0.11,1.0,0.47,0.68,0.95,0.85,0.58,0.65
CD-C05,天府广场-成都博物馆周边,盐市口-天府广场,0.42,0.0,0.63,0.9,0.85,0.75,0.45,0.62
CD-C08,骡马市地铁TOD周边,盐市口-天府广场,0.27,0.03,0.48,0.98,0.88,0.7,0.48,0.59
CD-C09,建设路小吃街核心区,建设路-万达,0.62,0.54,0.0,0.82,0.9,0.9,0.22,0.58
CD-C12,东郊记忆商业区,建设路-万达,0.0,0.46,0.62,0.8,0.88,0.85,0.35,0.58
CD-C06,盐市口-新世界百货周边,盐市口-天府广场,0.31,0.08,0.7,0.72,0.8,0.72,0.38,0.58
