指标名称,指标含义,主观权重,熵权,组合权重
daily_foot_traffic,日均客流量,0.18,0.09560734132618508,0.13642475471229223
customer_profile_score,客群匹配度,0.16,0.1063905092047105,0.12982893095461148
transport_score,交通便利度,0.14,0.0810443836439452,0.10878138982121446
price_affordability_score,消费能力匹配度,0.16,0.05036757465296397,0.10741975713391287
cost_effectiveness_score,租金性价比,0.12,0.09722755735982844,0.10434556839847683
social_media_heat_index,社交媒体热度,0.08,0.12110574254113249,0.09207866065281665
competition_intensity_index,竞争强度,0.07,0.1252412394263209,0.08827831395234656
night_economy_score,夜间活跃度,0.07,0.10836326643710063,0.08152712475665845
weekend_holiday_score,周末节假日热度,0.07,0.08833146023280616,0.07351440227494067
rent_avg_yuan_sqm_month,平均租金,0.03,0.06165554185200962,0.041025853104440214
distance_to_metro_m,距地铁距离,0.02,0.064665383322997,0.03677524423828971
