候选区域编号,候选区域名称,客群匹配度得分,消费能力匹配度得分,日均客流量,交通便利度得分,租金性价比得分,夜间活跃度得分,周末节假日热度得分,社交媒体热度指数,竞争强度指数,平均租金(元/㎡/月),距地铁站距离(米),TOPSIS贴近度
CD-C01,春熙路步行街南入口,0.8181818181818181,0.6090645695364238,0.890625,0.8000000000000002,0.090909090909091,0.8518518518518517,1.0,0.8181818181818182,0.05660377358490576,0.4901960784313726,0.7666666666666666,0.6247
CD-C02,太古里东广场核心区,1.0,0.9759933774834437,1.0,0.7333333333333334,0.24242424242424232,1.0,1.0,1.0,0.13207547169811318,0.2941176470588235,0.5,0.6967
CD-C03,太古里西侧/IFS连廊区,0.5454545454545452,1.0,0.78125,0.5666666666666665,0.303030303030303,0.7407407407407405,0.7666666666666668,0.6060606060606061,0.18867924528301894,0.0,0.0,0.5822
CD-C04,春熙路步行街北段,0.7272727272727272,0.6138245033112583,0.9375,0.6666666666666666,0.0,0.9259259259259258,1.0,0.7575757575757576,0.0,0.43137254901960786,0.9,0.5954
CD-C05,天府广场-成都博物馆周边,0.22727272727272738,0.6541804635761589,0.421875,0.7333333333333334,0.696969696969697,0.2592592592592591,0.5000000000000002,0.3939393939393939,0.7547169811320753,0.7254901960784313,0.6666666666666667,0.5062
CD-C06,盐市口-新世界百货周边,0.09090909090909095,0.7228890728476821,0.3125,0.1333333333333331,0.5454545454545456,0.18518518518518493,0.43333333333333346,0.21212121212121213,0.6226415094339622,0.7843137254901961,0.23333333333333328,0.374
CD-C07,盐市口地铁换乘站周边,0.1818181818181819,0.7436879139072847,0.53125,0.8999999999999999,0.48484848484848503,0.1111111111111112,0.23333333333333323,0.09090909090909091,0.8867924528301887,0.6666666666666667,0.8333333333333334,0.4915
CD-C08,骡马市地铁TOD周边,0.0,0.4972061258278146,0.265625,1.0,0.787878787878788,0.0,0.1666666666666665,0.0,0.8113207547169811,0.7450980392156863,1.0,0.4389
CD-C09,建设路小吃街核心区,0.9090909090909091,0.0,0.625,0.46666666666666645,0.8484848484848486,0.8518518518518517,0.9000000000000002,0.696969696969697,0.320754716981132,0.8627450980392157,0.5666666666666667,0.5907
CD-C10,建设路万达广场室内,0.45454545454545475,0.720716059602649,0.6875,0.3333333333333333,0.9090909090909093,0.37037037037037024,0.5666666666666665,0.30303030303030304,0.6981132075471699,0.9019607843137255,0.43333333333333335,0.566
CD-C11,建设路电子科大西门,0.6818181818181817,0.48820364238410596,0.109375,0.0,1.0,0.5555555555555556,0.0,0.15151515151515152,1.0,1.0,0.8333333333333334,0.4686
CD-C12,东郊记忆商业区,0.6818181818181817,0.6402110927152318,0.0,0.4000000000000001,0.787878787878788,0.9259259259259258,0.7666666666666668,0.9090909090909091,0.5660377358490565,0.9509803921568627,0.6666666666666667,0.5471
