变量,系数估计,稳健标准误,t值,P值,模型说明
Intercept,8.832725928645761,0.005723025545121448,1543.3665041343656,0.0,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(group_id)[T.C02],0.021270629578732297,0.001646819951343137,12.916184043910867,3.6478903874273004e-38,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(group_id)[T.C05],-0.21016564521424239,0.0029305771745311254,-71.71476221160005,0.0,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(group_id)[T.C09],-0.018969093050646202,0.003678662220611021,-5.156519384782075,2.515824489760575e-07,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-02-01 00:00:00')],-0.2688337009711539,0.007762423147012386,-34.63270371631609,8.136615613205813e-263,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-03-01 00:00:00')],-0.042286703354720026,0.00987251482987974,-4.283275749228237,1.841617013278482e-05,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-04-01 00:00:00')],0.05632721601223878,0.00742368798868694,7.587497763655557,3.261422415550517e-14,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-05-01 00:00:00')],0.14604106351908452,0.0070889363688925715,20.60126596141234,2.673618435957693e-94,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-06-01 00:00:00')],0.10543173653317695,0.006002997927930414,17.563180563936236,4.715729455380121e-69,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-07-01 00:00:00')],0.20577144843190992,0.006626493898052008,31.052839042438503,1.044493796825265e-211,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-08-01 00:00:00')],0.23323422050246556,0.006942906398088432,33.59316792268454,2.110772910327708e-247,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-09-01 00:00:00')],0.1675240317763498,0.0076048506699580125,22.028576108421433,1.5331740709434935e-107,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-10-01 00:00:00')],0.2834751470212016,0.0077670660432628495,36.497069220505445,1.2342439258024802e-291,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-11-01 00:00:00')],0.18354350226254845,0.00683916494799368,26.83712173317187,1.19235716042901e-158,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2025-12-01 00:00:00')],0.24815152676628927,0.008012755235188006,30.969562838576685,1.3855846302532895e-210,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2026-07-01 00:00:00')],0.04246105393339983,0.0035030115192223837,12.12130011574314,8.145659949270784e-34,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2026-08-01 00:00:00')],0.0669516693342862,0.0047556754649408445,14.078267078537708,5.1661113106172296e-45,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2026-09-01 00:00:00')],-0.013818499603178935,0.0025022661392332247,-5.522394035757272,3.3441148183137783e-08,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2026-10-01 00:00:00')],0.09953092827100196,0.003957359036845047,25.15084614368266,1.3833934419805496e-139,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2026-11-01 00:00:00')],0.0008189735343808735,0.004489974821114328,0.18240047372417548,0.8552684540638693,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
C(year_month)[T.Timestamp('2026-12-01 00:00:00')],0.05990961140616946,0.003894790984960763,15.381983689882912,2.1622034794640052e-53,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
is_treatment,0.021270629578724,0.001646819951343137,12.916184043905828,3.6478903876661323e-38,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
is_post_opening,0.2558537368760643,0.005009696934742429,51.07169958759568,0.0,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
is_treatment:is_post_opening,0.0766064090016575,0.00522866760784021,14.651229480869807,1.3229984210055116e-48,DID: 月度消费额 ~ 处理组*开业后 + 商圈固定效应 + 时间固定效应
