年月,时期标签,历史月度消费额(万元),基准预测消费额(万元),首店情景预测消费额(万元),首店效应贡献额(万元),总效应占比,季节因子,春节虚拟变量,暑期虚拟变量,国庆虚拟变量,双十一虚拟变量,开业后月份序号,是否开业窗口期,品牌集聚效应指数,夜间经济提升系数,DID净效应分量,数据类型,备注
2024-07,开业前基准期,65200.0,65363.68,65363.68,0.0,0.00%,0.0,0,1,0,0,0,否,1.0,0.0,0.0,historical,暑期旅游旺季
2024-08,开业前基准期,66800.0,66788.35,66788.35,0.0,0.00%,0.0,0,1,0,0,0,否,1.0,0.0,0.0,historical,暑期高峰+大运会
2024-09,开业前基准期,58500.0,58834.23,58834.23,0.0,0.00%,0.0,0,0,0,0,0,否,1.0,0.0,0.0,historical,开学季
2024-10,开业前基准期,72800.0,72807.14,72807.14,0.0,0.00%,0.0,0,0,1,0,0,否,1.0,0.0,0.0,historical,国庆+秋季消费
2024-11,开业前基准期,61200.0,61062.81,61062.81,0.0,0.00%,0.0,0,0,0,1,0,否,1.0,0.0,0.0,historical,双十一
2024-12,开业前基准期,69200.0,69930.01,69930.01,0.0,0.00%,0.0,0,0,0,0,0,否,1.0,0.0,0.0,historical,年末+圣诞+跨年
2025-01,开业前基准期,55800.0,56015.43,56015.43,0.0,0.00%,0.0,0,0,0,0,0,否,1.0,0.0,0.0,historical,春节前消费
2025-02,开业前基准期,38500.0,38945.31,38945.31,0.0,0.00%,0.0,1,0,0,0,0,否,1.0,0.0,0.0,historical,春节假期
2025-03,开业前基准期,51200.0,51768.14,51768.14,0.0,0.00%,0.0,0,0,0,0,0,否,1.0,0.0,0.0,historical,春季恢复
2025-04,开业前基准期,56800.0,55533.92,55533.92,0.0,0.00%,0.0,0,0,0,0,0,否,1.0,0.0,0.0,historical,春季消费
2025-05,开业前基准期,62500.0,62668.6,62668.6,0.0,0.00%,0.0,0,0,0,0,0,否,1.0,0.0,0.0,historical,五一假期
2025-06,开业前基准期,59800.0,60333.08,60333.08,0.0,0.00%,0.0,0,1,0,0,0,否,1.0,0.0,0.0,historical,暑期预热
2026-07,开业月,,72162.6,82986.99,10824.39,15.00%,0.0,0,1,0,0,1,是,1.11,0.12,0.08,forecast,暑期首店开业窗口
2026-08,开业后1月,,73703.27,89593.7,15890.43,21.56%,0.0,0,1,0,0,2,是,1.16,0.11,0.07,forecast,暑期高峰延续
2026-09,开业后2月,,65059.96,77655.57,12595.61,19.36%,0.0,0,0,0,0,3,是,1.14,0.09,0.06,forecast,效应逐步收敛
2026-10,开业后3月,,78221.77,91988.8,13767.03,17.60%,0.0,0,0,1,0,4,是,1.13,0.08,0.04,forecast,国庆叠加效应
2026-11,开业后4月,,66247.04,75574.62,9327.58,14.08%,0.0,0,0,0,1,5,是,1.1,0.06,0.03,forecast,双十一叠加
2026-12,开业后5月,,76691.83,85330.4,8638.57,11.26%,0.0,0,0,0,0,6,是,1.08,0.05,0.02,forecast,年末旺季
2027-01,开业后6月,,62236.96,67845.26,5608.3,9.01%,0.0,0,0,0,0,7,否,1.06,0.03,0.01,forecast,春节影响
2027-02,开业后7月,,44939.79,48179.48,3239.69,7.21%,0.0,1,0,0,0,8,否,1.05,0.02,0.01,forecast,春节影响
2027-03,开业后8月,,57423.94,60735.68,3311.74,5.77%,0.0,0,0,0,0,9,否,1.04,0.01,0.01,forecast,效应逐步收敛
2027-04,开业后9月,,63279.58,66199.13,2919.55,4.61%,0.0,0,0,0,0,10,否,1.03,0.01,0.01,forecast,效应逐步收敛
2027-05,开业后10月,,68803.09,71342.6,2539.51,3.69%,0.0,0,0,0,0,11,否,1.03,0.01,0.01,forecast,效应逐步收敛
2027-06,开业后11月,,65479.69,67444.08,1964.39,3.00%,0.0,0,1,0,0,12,否,1.02,0.01,0.01,forecast,效应逐步收敛
